policy,k,batch_size,requests,waves,generated_tokens,expert_token_assignments,expert_executions,hits,misses,fetches,compulsory_loads,refetches,evictions,admissions,bypasses,h2d_bytes,h2d_bytes_per_generated_token,hit_rate,refetch_ratio,tokens_per_expert_fetch,average_evicted_resident_lifetime,trace_sha256,retain_state_across_waves,access_order,admission_policy,random_seed,window_size,window_min_frequency,persistent_expert_bytes,h2d_reduction_vs_stream2,refetch_savings_per_reserved_gib,measured_bmax,physical_fixed_batch_feasible,evidence_scope
permanent_k,32,40,1200,30,307200,117964800,37263419,11607297,25656122,25656122,4593,25651529,0,0,0,242121544040448,788156067.84,0.31149307582323565,0.999820978400399,4.597920137735547,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,not_applicable,,,,14495514624,0.31149307582323565,7556.833984375,,,cache_simulation_bmax_unknown
quota_lru_k,32,40,1200,30,307200,117964800,37263419,11,37263408,37263408,6129,37257279,37261872,37263408,0,351661637763072,1144731893.76,2.9519567165857756e-07,0.9998355222903927,3.165700786143876,1535.9135940352112,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,always_admit,,,,14495514624,2.9519567165857756e-07,0.007161458333333333,,,cache_simulation_bmax_unknown
quota_lru_resident_hit_first,32,40,1200,30,307200,117964800,37263419,10419445,26843974,26843974,6129,26837845,26842438,26843974,0,253331521929216,824646881.28,0.2796159150076916,0.9997716806013893,4.394461118163801,2132.109450862846,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,resident_hit_first,always_admit,,,,14495514624,0.2796159150076916,6783.492838541667,,,cache_simulation_bmax_unknown
quota_lru_miss_bypass,32,40,1200,30,307200,117964800,37263419,10430625,26832794,26832794,6129,26826665,0,1536,26831258,253226014212096,824303431.68,0.27991594115397733,0.9997715854711217,4.3962920894484565,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,miss_bypass_when_full,,,,14495514624,0.27991594115397733,6790.771484375,,,cache_simulation_bmax_unknown
quota_lru_no_admission,32,40,1200,30,307200,117964800,37263419,0,37263419,37263419,6129,37257290,0,0,37263419,351661741572096,1144732231.68,0.0,0.9998355223389459,3.165699851642706,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,no_admission,,,,14495514624,0.0,0.0,,,cache_simulation_bmax_unknown
quota_lru_window_frequency,32,40,1200,30,307200,117964800,37263419,11,37263408,37263408,6129,37257279,37053127,37054663,208745,351661637763072,1144731893.76,2.9519567165857756e-07,0.9998355222903927,3.165700786143876,1544.4163869894167,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,window_frequency,,8,2,14495514624,2.9519567165857756e-07,0.007161458333333333,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed731,32,40,1200,30,307200,117964800,37263419,1926985,35336434,35336434,6129,35330305,35334898,35336434,0,333476429561856,1085535252.48,0.05171251194100037,0.9998265529566452,3.338333460586317,1619.6740045492702,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,731,,,14495514624,0.05171251194100037,1254.5475260416667,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed732,32,40,1200,30,307200,117964800,37263419,1926757,35336662,35336662,6129,35330533,35335126,35336662,0,333478581239808,1085542256.64,0.05170639333980599,0.9998265540757642,3.338311920916582,1619.6635535981957,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,732,,,14495514624,0.05170639333980599,1254.3990885416667,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed733,32,40,1200,30,307200,117964800,37263419,1925669,35337750,35337750,6129,35331621,35336214,35337750,0,333488848896000,1085575680.0,0.05167719580428194,0.999826559415922,3.338209138951971,1619.613684250384,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,733,,,14495514624,0.05167719580428194,1253.6907552083333,,,cache_simulation_bmax_unknown
permanent_k,64,40,1200,30,307200,117964800,37263419,22590519,14672900,14672900,3057,14669843,0,0,0,138470857113600,450751488.0,0.6062384935746234,0.9997916567277089,8.039637699432287,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,not_applicable,,,,28991029248,0.6062384935746234,7353.6845703125,,,cache_simulation_bmax_unknown
quota_lru_k,64,40,1200,30,307200,117964800,37263419,33449,37229970,37229970,6129,37223841,37226898,37229970,0,351346077204480,1143704678.4,0.0008976363655734328,0.9998353745651689,3.1685440520097115,3074.6839129062,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,always_admit,,,,28991029248,0.0008976363655734328,10.888346354166666,,,cache_simulation_bmax_unknown
quota_lru_resident_hit_first,64,40,1200,30,307200,117964800,37263419,20948959,16314460,16314460,6129,16308331,16311388,16314460,0,153962560880640,501180211.2,0.5621856384139093,0.9996243210011242,7.230689829758386,6990.142754742883,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,resident_hit_first,always_admit,,,,28991029248,0.5621856384139093,6819.322591145833,,,cache_simulation_bmax_unknown
quota_lru_miss_bypass,64,40,1200,30,307200,117964800,37263419,20692494,16570925,16570925,6129,16564796,0,3072,16567853,156382868275200,509058816.0,0.5553031513291896,0.9996301353123015,7.118781842293052,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,miss_bypass_when_full,,,,28991029248,0.5553031513291896,6735.837890625,,,cache_simulation_bmax_unknown
quota_lru_no_admission,64,40,1200,30,307200,117964800,37263419,0,37263419,37263419,6129,37257290,0,0,37263419,351661741572096,1144732231.68,0.0,0.9998355223389459,3.165699851642706,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,no_admission,,,,28991029248,0.0,0.0,,,cache_simulation_bmax_unknown
quota_lru_window_frequency,64,40,1200,30,307200,117964800,37263419,35920,37227499,37227499,6129,37221370,37015682,37018754,208745,351322757922816,1143628769.28,0.0009639480478160096,0.9998353636380461,3.16875436622804,3091.902947620957,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,window_frequency,,8,2,28991029248,0.0009639480478160096,11.692708333333334,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed731,64,40,1200,30,307200,117964800,37263419,8709733,28553686,28553686,6129,28547557,28550614,28553686,0,269466388660224,877169233.92,0.23373413480926158,0.9997853517055556,4.131333516800598,4008.9991928369736,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,731,,,28991029248,0.23373413480926158,2835.1995442708335,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed732,64,40,1200,30,307200,117964800,37263419,8709125,28554294,28554294,6129,28548165,28551222,28554294,0,269472126468096,877187911.68,0.23371781853940993,0.9997853562760123,4.1312455492683515,4008.9120372501043,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,732,,,28991029248,0.23371781853940993,2835.0016276041665,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed733,64,40,1200,30,307200,117964800,37263419,8708666,28554753,28554753,6129,28548624,28551681,28554753,0,269476458135552,877202012.16,0.2337055008291107,0.9997853597262775,4.131179142050362,4008.8490500786975,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,733,,,28991029248,0.2337055008291107,2834.8522135416665,,,cache_simulation_bmax_unknown
permanent_k,96,40,1200,30,307200,117964800,37263419,32097513,5165906,5165906,1521,5164385,0,0,0,48751605448704,158696632.32,0.8613679007822659,0.9997055695554662,22.835258713573186,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,not_applicable,,,,43486543872,0.8613679007822659,6965.606119791667,,,cache_simulation_bmax_unknown
quota_lru_k,96,40,1200,30,307200,117964800,37263419,6102499,31160920,31160920,6129,31154791,31156312,31160920,0,294071335649280,957263462.4,0.16376648100916344,0.9998033113271367,3.78566486483711,5509.4402973946335,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,always_admit,,,,43486543872,0.16376648100916344,1324.3270399305557,,,cache_simulation_bmax_unknown
quota_lru_resident_hit_first,96,40,1200,30,307200,117964800,37263419,31638766,5624653,5624653,6129,5618524,5620045,5624653,0,53080885297152,172789340.16,0.849056979983506,0.9989103327796399,20.972813789579554,29883.4979878275,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,resident_hit_first,always_admit,,,,43486543872,0.849056979983506,6866.051649305556,,,cache_simulation_bmax_unknown
quota_lru_miss_bypass,96,40,1200,30,307200,117964800,37263419,30257961,7005458,7005458,6129,6999329,0,4608,7000850,66111796150272,215207669.76,0.8120017382194586,0.9991251107350868,16.83898468879551,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,miss_bypass_when_full,,,,43486543872,0.8120017382194586,6566.397786458333,,,cache_simulation_bmax_unknown
quota_lru_no_admission,96,40,1200,30,307200,117964800,37263419,0,37263419,37263419,6129,37257290,0,0,37263419,351661741572096,1144732231.68,0.0,0.9998355223389459,3.165699851642706,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,no_admission,,,,43486543872,0.0,0.0,,,cache_simulation_bmax_unknown
quota_lru_window_frequency,96,40,1200,30,307200,117964800,37263419,6944969,30318450,30318450,6129,30312321,30105099,30109707,208743,286120791244800,931382784.0,0.1863749807820909,0.9997978458661311,3.890858536633634,5700.732120163431,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,window_frequency,,8,2,43486543872,0.1863749807820909,1507.1547309027778,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed731,96,40,1200,30,307200,117964800,37263419,23957135,13306284,13306284,6129,13300155,13301676,13306284,0,125573850464256,408769044.48,0.6429129597582015,0.9995393905616324,8.86534512565642,12902.917976200893,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,731,,,43486543872,0.6429129597582015,5199.031032986111,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed732,96,40,1200,30,307200,117964800,37263419,23960069,13303350,13303350,6129,13297221,13298742,13303350,0,125546161766400,408678912.0,0.6429916964946238,0.999539288976085,8.86730034164327,12905.572171939271,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,732,,,43486543872,0.6429916964946238,5199.667751736111,,,cache_simulation_bmax_unknown
quota_lru_random_order_seed733,96,40,1200,30,307200,117964800,37263419,23957252,13306167,13306167,6129,13300038,13301559,13306167,0,125572746313728,408765450.24,0.6429160995667091,0.9995393865115326,8.865423077885614,12903.182193079774,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,random_expert_order,always_admit,733,,,43486543872,0.6429160995667091,5199.056423611111,,,cache_simulation_bmax_unknown
full_resident,128,40,1200,30,307200,117964800,37263419,37263419,0,0,0,0,0,0,0,0,0.0,1.0,0.0,,,f821a09f35a84aad83706543c526c5cc7b362131cfc978c3871cf3930619dd18,True,ascending_expert_id,not_applicable,,,,57982058496,1.0,6065.009602864583,41,True,cache_simulation_physical_batch_feasible
